Name;Site;Location;Status;Facility ID;Tenant;Role;Height;Devices;Space;ID;Tenant Group;Serial number;Asset tag;Type;Starting unit;Width;Outer Width;Outer Depth;Mounting depth;Weight;Max Weight;Comments;Power;Description;Contacts;Tags;Created;Last updated
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MER1B-A01;VUmc;MER1B;Active;;;Network Infrastructure;42U;0;0.0%;5;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 09:49;13-10-2023 09:49
MER1B-A02;VUmc;MER1B;Active;;;Server Infrastructure;42U;0;0.0%;6;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 09:59;13-10-2023 10:00
MER1B-A03;VUmc;MER1B;Active;;;Virtualization;42U;0;0.0%;7;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 09:59;13-10-2023 10:06
MER1B-A04;VUmc;MER1B;Active;;;Virtualization;42U;0;0.0%;10;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:11;13-10-2023 10:11
MER1B-A05;VUmc;MER1B;Active;;;Virtualization;42U;0;0.0%;9;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:10;13-10-2023 10:10
MER1B-A06;VUmc;MER1B;Active;;;Server Infrastructure;42U;0;0.0%;11;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:19;13-10-2023 10:19
MER1B-A07;VUmc;MER1B;Active;;;Oneview Nutanix;42U;0;0.0%;12;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:19;13-10-2023 10:19
MER1B-A08;VUmc;MER1B;Active;;;Server Infrastructure;42U;0;0.0%;13;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:20;13-10-2023 10:20
MER1B-A09;VUmc;MER1B;Active;;;Telecom;42U;0;0.0%;14;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;Grosz;;;13-10-2023 10:21;13-10-2023 10:21
MER1B-B10;VUmc;MER1B;Active;;;Storage;42U;0;0.0%;15;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;PACS;;;13-10-2023 10:22;13-10-2023 10:22
MER1B-B11;VUmc;MER1B;Active;;;Server Infrastructure;42U;0;0.0%;16;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;Xerox;;;13-10-2023 10:22;13-10-2023 10:22
MER1B-B12;VUmc;MER1B;Active;;;Oneview Nutanix;42U;0;0.0%;17;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:24;13-10-2023 10:24
MER1B-B13;VUmc;MER1B;Available;;;None;42U;0;0.0%;19;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:39;13-10-2023 10:39
MER1B-B14;VUmc;MER1B;Available;;;None;42U;0;0.0%;20;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:40;13-10-2023 10:40
MER1B-B15;VUmc;MER1B;Available;;;None;42U;0;0.0%;21;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:41;13-10-2023 10:42
MER1B-B16;VUmc;MER1B;Active;;;Storage;42U;0;0.0%;18;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;Storage VMware;;;13-10-2023 10:25;13-10-2023 10:43
MER1B-B17;VUmc;MER1B;Active;;;Server Infrastructure;42U;0;0.0%;22;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:43;13-10-2023 10:43
MER1B-B18;VUmc;MER1B;Active;;;Oneview Nutanix;42U;0;0.0%;23;;;;4-post cabinet;1;19 inches;None;None;100;;;;0%;;;;13-10-2023 10:44;13-10-2023 10:44
MER1C-A01;VUmc;MER1C;Available;;;None;42U;0;0.0%;24;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 10:45;13-10-2023 10:45
MER1C-A02;VUmc;MER1C;Available;;;None;42U;0;0.0%;25;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 10:47;13-10-2023 10:47
MER1C-A03;VUmc;MER1C;Active;;;Oneview Nutanix;42U;0;0.0%;26;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 10:48;13-10-2023 10:48
MER1C-A04;VUmc;MER1C;Available;;;None;42U;0;0.0%;27;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 10:49;13-10-2023 10:49
MER1C-A05;VUmc;MER1C;Active;;;Network Infrastructure;42U;0;0.0%;28;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 10:50;13-10-2023 10:50
MER1C-A06;VUmc;MER1C;Active;;;Oneview Nutanix;42U;0;0.0%;29;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 10:58;13-10-2023 10:58
MER1C-A07;VUmc;MER1C;Active;;;Virtualization;42U;0;0.0%;30;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:00;13-10-2023 11:00
MER1C-A08;VUmc;MER1C;Active;;;Virtualization;42U;0;0.0%;31;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:01;13-10-2023 11:01
MER1C-A09;VUmc;MER1C;Active;;;Server Infrastructure;42U;0;0.0%;32;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:02;13-10-2023 11:02
MER1C-B10;VUmc;MER1C;Available;;;None;42U;0;0.0%;33;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:02;13-10-2023 11:02
MER1C-B11;VUmc;MER1C;Active;;;Server Infrastructure;42U;0;0.0%;34;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:03;13-10-2023 11:03
MER1C-B12;VUmc;MER1C;Active;;;Oneview Nutanix;42U;0;0.0%;35;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:03;13-10-2023 11:03
MER1C-B13;VUmc;MER1C;Active;;;Oneview Nutanix;42U;0;0.0%;36;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:04;13-10-2023 11:04
MER1C-B14;VUmc;MER1C;Active;;;Network Infrastructure;42U;0;0.0%;37;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:04;13-10-2023 11:04
MER1C-B15;VUmc;MER1C;Active;;;Storage;42U;0;0.0%;38;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:05;13-10-2023 11:05
MER1C-B16;VUmc;MER1C;Active;;;Storage;42U;0;0.0%;39;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:06;13-10-2023 11:06
MER1C-B17;VUmc;MER1C;Active;;;Server Infrastructure;42U;0;0.0%;40;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;Aria / Ethos RTH;;;13-10-2023 11:07;13-10-2023 11:07
MER1C-B18;VUmc;MER1C;Active;;;Storage;42U;0;0.0%;41;;;;4-post cabinet;1;19 inches;None;None;1200;;;;0%;;;;13-10-2023 11:07;13-10-2023 12:48
MER2A-A01;VUmc;MER2A;Active;;;Network Infrastructure;45U;0;0.0%;42;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:13;13-10-2023 11:13
MER2A-A02;VUmc;MER2A;Active;;;Network Infrastructure;45U;0;0.0%;43;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:14;13-10-2023 11:14
MER2A-A03;VUmc;MER2A;Active;;;Network Infrastructure;45U;0;0.0%;44;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:14;13-10-2023 11:14
MER2A-A04;VUmc;MER2A;Active;;;Network Infrastructure;45U;0;0.0%;45;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:15;13-10-2023 11:15
MER2B-A01;VUmc;MER2B;Active;;;Network Infrastructure;42U;0;0.0%;62;;;;;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:46;13-10-2023 12:46
MER2B-A02;VUmc;MER2B;Active;;;Server Infrastructure;42U;0;0.0%;63;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:49;13-10-2023 12:49
MER2B-A03;VUmc;MER2B;Active;;;Virtualization;42U;0;0.0%;64;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:50;13-10-2023 12:50
MER2B-A04;VUmc;MER2B;Active;;;Virtualization;42U;0;0.0%;65;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:50;13-10-2023 12:50
MER2B-A05;VUmc;MER2B;Active;;;Virtualization;42U;0;0.0%;66;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:51;13-10-2023 12:51
MER2B-B06;VUmc;MER2B;Active;;;Oneview Nutanix;42U;0;0.0%;67;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:51;13-10-2023 12:51
MER2B-B07;VUmc;MER2B;Active;;;Server Infrastructure;42U;0;0.0%;68;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:51;13-10-2023 12:51
MER2B-B08;VUmc;MER2B;Active;;;Server Infrastructure;42U;0;0.0%;69;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:52;13-10-2023 12:52
MER2B-B09;VUmc;MER2B;Active;;;Telecom;42U;0;0.0%;70;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:52;13-10-2023 12:52
